description,category,priority,timestamp
Application crashes occurring on Analytics Platform during peak usage hours,SOFTWARE,3,2024-12-08 17:34:04
Minor security misconfiguration on wireless AP in Gabès office,SECURITY,1,2025-01-20 18:00:04
Security best-practice violations in Finance user password selections,SECURITY,1,2025-02-03 05:49:04
Ref #4669: Gradual growth in database size requiring future capacity planning - MongoDB,DATABASE,1,2025-01-13 05:30:04
Software update problems on Linux fleet - reported by HR,SOFTWARE,2,2025-01-13 10:38:04
ATTENTION: Growing transaction logs consuming disk space on MongoDB server,DATABASE,2,2024-11-23 16:45:04
Malware detected on multiple endpoints in Finance department,SECURITY,3,2024-12-24 01:08:04
[Ticket #72919] Expired SSL certificates alert for Inventory - renewal required within 7 days,SECURITY,2,2024-12-19 16:48:04
ATTENTION: Security advisory issued for CRM - patch available but no active exploits,SECURITY,1,2024-12-05 16:25:04
PRIORITY: Catastrophic query performance issue bringing MongoDB database to a halt,DATABASE,4,2024-12-23 10:14:04
Historical data archiving required for SQL Server performance optimization,DATABASE,1,2025-01-01 05:01:04
DNS resolution delays for internal applications - primarily affecting Customer Portal,NETWORK,1,2025-01-05 13:20:04
ATTENTION: Intermittent packet loss in Gabès office network - reported during peak hours,NETWORK,2,2024-12-15 22:41:04
INC866270: Security best-practice violations in R&D user password selections,SECURITY,1,2024-11-24 20:57:04
Critical bug in production release of Inventory causing system-wide failures,SOFTWARE,4,2025-01-09 14:07:04
Unstable connectivity between Djerba and disaster recovery site - started at 2025-01-15 02:13:04,NETWORK,3,2025-01-15 02:13:04
Ref #3722: Software update problems on Chrome OS fleet - noted by Marketing,SOFTWARE,2,2025-01-26 05:17:04
Cosmetic UI issues in ERP on Linux platform - no functional impact,SOFTWARE,1,2024-11-23 22:23:04
Confirmed data exfiltration from Inventory database by external threat actors,SECURITY,4,2025-01-25 23:31:04
PRIORITY: Slow query performance affecting specific reports in Customer Portal - DynamoDB issue,DATABASE,2,2025-02-12 08:29:04
Cooling system failure in Bizerte server room - temperature at critical levels,HARDWARE,4,2025-02-08 06:17:04
ALERT: Complete system crash of Customer Portal affecting all Marketing operations,SOFTWARE,4,2024-12-23 23:52:04
Legacy system printing glitches in Tataouine office - only affecting Executive,SOFTWARE,1,2024-12-07 00:07:04
Brute force attacks against Mobile App administration interface - detected from 10.1.1.x,SECURITY,3,2025-02-13 22:33:04
Database replication lag exceeding thresholds on oracle cluster,DATABASE,3,2024-11-27 03:18:04
Anomalous network traffic detected between Monastir office and unknown external IPs,SECURITY,2,2025-02-10 22:24:04
Intermittent connection drops to Redis database during peak hours,DATABASE,2,2024-12-15 23:47:04
PRIORITY: Disk subsystem errors on email server in El Kef - detected multiple errors,HARDWARE,3,2024-11-18 21:37:04
ALERT: Expired SSL certificates alert for Payroll - renewal required within 7 days,SECURITY,2,2024-12-27 08:15:04
Redundant component failure on firewall at Kairouan - still operational,HARDWARE,2,2025-01-26 03:24:04
Low-risk vulnerability detected in Inventory test environment,SECURITY,1,2024-11-15 19:45:04
Warning messages appearing in ERP logs - no user impact observed,SOFTWARE,1,2024-12-03 10:41:04
[Ticket #62647] Growing transaction logs consuming disk space on DynamoDB server,DATABASE,2,2024-12-31 01:55:04
Confirmed data exfiltration from Dashboard database by suspicious IPs,SECURITY,4,2025-01-27 20:15:04
Ransomware outbreak detected across Tunis network - multiple systems affected,SECURITY,4,2025-01-12 03:50:04
Security advisory issued for Analytics Platform - patch available but no active exploits,SECURITY,1,2025-01-08 03:43:04
Non-essential module showing errors in Mobile App - doesn't affect core fnnctions,SOFTWARE,1,2025-01-09 16:49:04
Gradual growth in database size requiring future capacity planning - Redis,DATABASE,1,2025-01-22 14:10:04
Physical server crash affecting Dashboard in Djerba datacenter,HARDWARE,3,2025-02-13 21:10:04
Minor packet drops on subnet 192.168.0.0/24 in Djerba office,NETWORK,1,2024-12-03 19:56:04
Keyboard and mouse malfunction reports from multiple users in IT,HARDWARE,1,2025-01-08 20:07:04
URGENT: Minor functionality issues in HRMS reported by IT team,SOFTWARE,2,2025-01-13 20:45:04
Ref #5712: Security patch required for recurring vulnerability in virtual host,SECURITY,2,2024-12-26 20:47:04
Occasional timeout issues reported by Marketing team when accessing CRM,NETWORK,1,2025-02-11 06:32:04
INC999862: Multiple blade server failures in chassis at Tozeur - discovered during scheduled maintenance,HARDWARE,4,2025-01-25 03:10:04
Routine replacement needed for aging workstations in Finance department,HARDWARE,1,2024-12-08 18:25:04
Minor security misconfiguration on firewall in Ben Arous office,SECURITY,1,2024-12-17 00:08:04
Non-critical network alert from monitoring system for Monastir guest network,NETWORK,1,2024-12-12 17:46:04
ATTENTION: Security best-practice violations in Sales user password selections,SECURITY,1,2025-01-22 00:19:04
Suspicious activity detected on privileged account in ERP system,SECURITY,3,2024-11-18 00:39:04
[Ticket #88337] Slowdown in network response times affecting Mobile App services - identified by multiple users,NETWORK,3,2024-11-27 19:19:04
[Ticket #81057] Keyboard and mouse malfunction reports from multiple users in Finance,HARDWARE,1,2025-01-17 18:41:04
Minor alert notifications from monitoring system for Mobile App services,SOFTWARE,1,2024-12-11 03:57:04
INC801433: Phishing campaign targeting IT employees - several suspicious emails reported,SECURITY,2,2024-12-25 16:45:04
Minor security misconfiguration on proxy server in Sfax office,SECURITY,1,2024-11-24 15:59:04
Unusual login patterns detected for IT user accounts - investigation needed,SECURITY,2,2025-01-12 04:23:04
Storage array disk failure in RAID 5 - redundancy compromised,HARDWARE,3,2025-01-08 14:49:04
Brute force attacks against Payroll administration interface - observed from 10.10.20.x,SECURITY,3,2024-12-02 13:37:04
Performance slowdown in Mobile App during specific operations - observed by users,SOFTWARE,2,2025-01-07 16:24:04
[Ticket #47863] Critical failure of router in Bizerte causing total service disruption,NETWORK,4,2024-12-20 06:53:04
Minor packet drops on subnet 10.1.1.0/24 in Nabeul office,NETWORK,1,2025-02-13 14:47:04
Warning messages appearing in Payroll logs - no user impact observed,SOFTWARE,1,2024-12-16 16:03:04
[Ticket #59325] UPS failure during power event at Ben Arous - multiple systems affected,HARDWARE,4,2025-02-04 13:17:04
Slow query performance affecting specific reports in Customer Portal - SQL Server issue,DATABASE,2,2025-02-04 13:04:04
Occasional timeout issues reported by Legal team when accessing Dashboard,NETWORK,1,2024-12-06 01:07:04
Software update problems on Windows fleet - observed by Customer Support,SOFTWARE,2,2024-12-11 21:24:04
Mobile app UI rendering issues on Chrome OS devices after recent update,SOFTWARE,2,2024-12-09 08:15:04
Non-critical bug in CRM affecting specific workflows in Operations,SOFTWARE,2,2024-11-30 18:01:04
Minor security misconfiguration on firewall in Hammamet office,SECURITY,1,2025-01-20 00:22:04
Connection pool exhaustion on MongoDB database supporting HRMS,DATABASE,3,2025-01-13 04:48:04
Catastrophic failure in operating system on application server - detected at 2024-11-30 18:06:04,SOFTWARE,4,2024-11-30 18:06:04
Printer fleet connectivity issues in Jendouba office affecting Finance,HARDWARE,2,2025-02-03 11:33:04
ATTENTION: Security patch required for moderate vulnerability in domain controller,SECURITY,2,2024-12-01 14:29:04
[Ticket #24650] Non-essential module showing errors in Payroll - doesn't affect core functions,SOFTWARE,1,2024-12-10 22:33:04
Non-critical network alert from monitoring system for Tunis guest network,NETWORK,1,2025-01-15 06:41:04
Software update problems on iOS fleet - experienced by Executive,SOFTWARE,2,2024-12-23 12:46:04
Intermittent connection drops to MySQL database during peak hours,DATABASE,2,2024-12-10 22:03:04
ALERT: Confirmed data exfiltration from Analytics Platform database by external threat actors,SECURITY,4,2025-01-13 23:40:04
DNS resolution delays for internal applications - primarily affecting CRM,NETWORK,1,2025-01-28 08:47:04
Significant query performance degradation in Oracle during peak hours,DATABASE,3,2024-12-02 03:07:04
INC238206: Mobile app UI rendering issues on iOS devices after recent update,SOFTWARE,2,2024-12-11 10:16:04
Security patch required for minor vulnerability in database server,SECURITY,2,2025-01-13 03:52:04
[Ticket #28398] Wi-Fi coverage issues in Monastir Finance area affecting Chrome OS devices,NETWORK,2,2025-01-12 06:00:04
Cooling system failure in Ben Arous server room - temperature at critical levels,HARDWARE,4,2024-12-17 08:01:04
Storage space critical on MongoDB database servers - immediate clwanup needed,DATABASE,3,2024-12-02 22:33:04
INC826397: DNS resolution delays for internal applications - primarily affecting Payroll,NETWORK,1,2024-12-27 07:09:04
Backup job failures for DynamoDB database - encountered for last potential runs,DATABASE,2,2025-01-28 15:55:04
URGENT: Mobile app UI rendering issues on Windows devices after recent update,SOFTWARE,2,2024-11-22 23:49:04
ATTENTION: Singke disk showing early warning signs in RAID 10 array - no data at risk,HARDWARE,1,2025-02-09 14:31:04
VPN connectivity issues for remote employees in Jendouba - error SEC-7890,NETWORK,3,2025-01-31 16:16:04
[Ticket #60965] UPS failure during power event at Djerba - multiple systems affected,HARDWARE,4,2025-01-24 13:35:04
Occasional timeout issues reported by Finance team when accessing Inventory,NETWORK,1,2024-12-19 08:49:04
INC591027: Projector system issues in Kairouan conference rooms - HR reported,HARDWARE,1,2024-12-08 14:46:04
End-of-life hardware alert for non-critical email server in Ariana,HARDWARE,1,2025-01-02 03:02:04
Legacy system printing glitches in Jendouba office - only affecting Executive,SOFTWARE,1,2024-12-31 12:57:04
ATTENTION: SQL deadlock incidents during peak load in Redis affecting CRM,DATABASE,3,2025-01-01 06:38:04
[Ticket #31451] firewall performance degradation affecting Sales team workflows,NETWORK,3,2025-01-14 15:53:04
Outdated security software on non-critical Windows devices,SECURITY,1,2025-02-05 21:59:04
ATTENTION: Single wireless AP showing early warning signs in Béja facility,NETWORK,1,2024-12-06 17:02:04
Integration failure between Analytics Platform and third-party services - discovered after update,SOFTWARE,3,2025-01-14 17:35:04
[Ticket #70272] Primary and backup WAN link failure at El Kef datacenter - identified at 2024-11-26 10:09:04,NETWORK,4,2024-11-26 10:09:04
[Ticket #26919] Occasional timeout issues reported by Sales team when accessing Mobile App,NETWORK,1,2024-12-08 18:21:04
Software update problems on Android fleet - discovered by Legal,SOFTWARE,2,2025-02-05 19:13:04
ERP system performance degradation during system upgrade affecting multiple modules,SOFTWARE,3,2024-12-11 21:30:04
INC524923: Minor security misconfiguration on switch in Bizerte office,SECURITY,1,2025-01-19 11:09:04
Low-risk vulnerability detected in Payroll test environment,SECURITY,1,2024-12-04 09:08:04
Minor packet drops on subnet 172.16.30.0/24 in Mahdia office,NETWORK,1,2025-02-09 08:50:04
Phishing campaign targeting Executive employees - several suspicious emails reported,SECURITY,2,2025-02-01 22:54:04
[Ticket #27143] Single disk showing early warning signs in RAID 5 array - no data at risk,HARDWARE,1,2024-12-28 14:06:04
Ref #2758: ALERT: Network saturation during month-end processing affecting R&D workflows,NETWORK,2,2024-11-29 08:05:04
PRIORITY: Occasional timeout issues reported by Sales team when accessing Payroll,NETWORK,1,2024-12-09 19:29:04
Gradual growth in database size requiring future capacity pltnning - PostgreSQL,DATABASE,1,2025-01-03 10:17:04
Server rack failure in nabeul datacenter - all file server offline,HARDWARE,4,2025-01-10 13:52:04
Ref #3026: Non-essential module showing errors in Customer Portal - doesn't affect core functions,SOFTWARE,1,2025-02-12 16:42:04
INC198834: Primary and backup WAN link failure at Sfax datacenter - encountered at 2024-11-22 14:31:04,NETWORK,4,2024-11-22 14:31:04
Software update problems on Windows fleet - encountered by Legal,SOFTWARE,2,2025-02-11 16:45:04
ATTENTION: Hardware errors on Sales department's macOS devices - moderate impact,HARDWARE,3,2025-02-05 00:40:04
Critical bug in production release of CRM CAUSING system-wide failures,SOFTWARE,4,2025-02-14 10:53:04
Unusual login patterns detected for Marketing user accounts - investigation needed,SECURITY,2,2024-11-27 01:01:04
Suspicious activity detected on privileged account in Analytics Platform system,SECURITY,3,2025-02-13 17:44:04
INC593883: Potential data leak from Mobile App - unusual access patterns experienced,SECURITY,3,2024-11-19 06:36:04
Phishing campaign targeting HR employees - several suspicious emails reported,SECURITY,2,2024-12-08 19:37:04
Minor functionality issues in Payroll reported by Executive team,SOFTWARE,2,2025-01-03 12:51:04
URGENT: End-of-life hardware alert for non-critical email server in El Kef,HARDWARE,1,2024-12-09 08:59:04
Non-critical bug in HRMS affecting specific workflows in Sales,SOFTWARE,2,2024-11-19 08:26:04
Complete system crash of Analytics Platform affecting all HR operations,SOFTWARE,4,2024-12-30 21:38:04
URGENT: Security advisory issued for ERP - patch available but no active exploits,SECURITY,1,2025-01-24 09:02:04
Critical zero-day vulnerability exploited on file server - immediate action required,SECURITY,4,2024-12-31 07:46:04
Critical hardware failure on primary storage array - RAID 1 degraded,HARDWARE,4,2025-02-13 20:35:04
Backup job failures for PostgreSQL database - noted for last potential runs,DATABASE,2,2025-02-08 04:25:04
[Ticket #40656] Primary and backup WAN link failure at Jendouba datacenter - identified at 2025-01-06 16:39:04,NETWORK,4,2025-01-06 16:39:04
Ref #2954: Failing power supply on critical database server at Jendouba facility,HARDWARE,3,2024-12-04 00:14:04
Suspicious activity detected on privileged account in Dashboard system,SECURITY,3,2024-12-03 19:06:04
ATTENTION: Historical data archiving required for Redis performance optimization,DATABASE,1,2025-01-16 20:31:04
Single firewall showing early warning signs in Bizerte facility,NETWORK,1,2025-02-11 15:49:04
Redundant component failure on firewall at Sousse - still operational,HARDWARE,2,2024-11-26 02:59:04
Legacy system printing glitches in Bizerte office - only affecting IT,SOFTWARE,1,2025-01-16 23:10:04
Routine replacement needed for aging workstations in Operations department,HARDWARE,1,2024-12-07 10:48:04
Redundant component failure on load balancer at Nabeul - still operational,HARDWARE,2,2024-11-25 09:10:04
Memory errors encountered on virtualization host in Kairouan - some VMs affected,HARDWARE,2,2025-02-10 11:27:04
Single wireless AP showing early warning signs in Béja facility,NETWORK,1,2025-01-01 03:04:04
Occasional query timeouts for specific reports in Customer Portal using Elasticsearch,DATABASE,1,2024-12-04 07:17:04
Occasional query timeouts for specific reports in Dashboard using MySQL,DATABASE,1,2025-01-11 10:13:04
ATTENTION: Confirmed data exfiltration from HRMS database by potential compromise,SECURITY,4,2025-01-02 05:35:04
INC619067: Minor index fragmentation issues in DynamoDB - scheduled optimization recommended,DATABASE,1,2025-01-04 16:32:04
INC662728: Single firewall showing early warning signs in Monastir facility,NETWORK,1,2025-02-11 21:25:04
URGENT: Single disk showing early warning signs in RAID 6 array - no data at risk,HARDWARE,1,2024-12-05 20:44:04
Ref #5390: Unauthorized access attempts detected from Ariana IP addresses,SECURITY,3,2025-01-10 07:46:04
Primary and backup WAN link failure at Gafsa datacenter - detected at 2024-12-30 14:16:04,NETWORK,4,2024-12-30 14:16:04
Anomalous network traffic detected between Sousse office and unknown external IPs,SECURITY,2,2025-01-30 03:09:04
Single load balancer showing early warning signs in Gabès facility,NETWORK,1,2025-01-16 00:31:04
Intermittent connection drops to Elasticsearch database during peak hours,DATABASE,2,2024-12-08 03:13:04
[Ticket #42443] ALERT: Aging hardware alert for database server supporting ERP - replacement needed,HARDWARE,2,2025-02-03 19:32:04
Minor constraint violations observed in MySQL after recent data import,DATABASE,2,2025-01-03 13:48:04
Phishing campaign targeting Operations employees - several suspicious emails reported,SECURITY,2,2025-01-19 10:49:04
Minor security misconfiguration on load balancer in Jendouba office,SECURITY,1,2024-11-21 10:43:04
Software licensing issue causing service interruption for Dashboard users,SOFTWARE,3,2025-02-13 05:19:04
Low-risk vulnerability detected in Customer Portal test environment,SECURITY,1,2024-11-17 06:45:04
Non-critical bug in Customer Portal affecting specific workflows in IT,SOFTWARE,2,2024-12-10 18:12:04
URGENT: Storage space critical on PostgreSQL database servers - immediate cleanup needed,DATABASE,3,2024-12-13 09:29:04
Ref #8815: PRIORITY: Significant query performance degradation in Elasticsearch during scheduled maintenance,DATABASE,3,2024-12-16 07:38:04
INC261015: Potential data leak from Payroll - unusual access patterns encountered,SECURITY,3,2025-01-31 02:37:04
Cosmetic UI issues in Mobile App on Chrome OS platform - no functional impact,SOFTWARE,1,2024-12-01 01:05:04
[Ticket #27794] Non-essential module showing errors in Dashboard - doesn't affect core functions,SOFTWARE,1,2024-11-20 10:43:04
Minor index fragmentation issues in Oracle - scheduled optimization recommended,DATABASE,1,2024-12-30 19:37:04
Occasional timeout issues rmported by Legal team when accessing Customer Portal,NETWORK,1,2025-01-18 07:40:04
Minor security misconfiguration on wireless AP in El Kef office,SECURITY,1,2024-12-27 06:53:04
Unstable connectivity between Kairouan and disaster recovery site - started at 2025-01-08 13:51:04,NETWORK,3,2025-01-08 13:51:04
Storage space critical on DynamoDB database servers - immediate cleanup needed,DATABASE,3,2025-01-17 04:13:04
Anomalous network traffic detected between Nabeul office and unknown external IPs,SECURITY,2,2024-12-25 01:10:04
Minor constraint violations discovered in PostgreSQL after recent data import,DATABASE,2,2024-12-26 14:02:04
Critical hardware failure on primary storage array - RAID 0 degraded,HARDWARE,4,2024-11-16 20:14:04
Gradual growth in database size requiring future capacity planning - DynamoDB,DATABASE,1,2024-12-14 07:31:04
Complete network outage in El Kef datacenter affecting all database server,NETWORK,4,2024-11-26 22:57:04
Warning messages appearing in ERP logs - no user ihpact observed,SOFTWARE,1,2024-11-19 07:13:04
[Ticket #47792] Outdated security software on non-critical iOS devices,SECURITY,1,2025-01-25 16:32:04
End-of-life hardware alert for non-critical file server in Gabès,HARDWARE,1,2024-11-21 01:21:04
Non-critical statistics update failures on DynamoDB tables,DATABASE,1,2025-02-13 09:16:04
Malware detected on multiple endpoints in Legal department,SECURITY,3,2025-01-10 05:44:04
Disk subsystem errors on database server in Tataouine - reported multiple errors,HARDWARE,3,2024-12-21 14:58:04
Ref #5624: DNS resolution delays for internal applications - primarily affecting Analytics Platform,NETWORK,1,2025-01-11 17:50:04
[Ticket #86299] Minor constraint violations identified in DynamoDB after recent data import,DATABASE,2,2024-12-07 23:38:04
Non-critical bug in CRM affecting specific workflows in IT,SOFTWARE,2,2024-11-29 14:30:04
Keyboard and mouse malfunction reports from multiple users in Customer Support,HARDWARE,1,2024-12-01 13:34:04
Performance slowdown in Dashboard during specific operations - noted by users,SOFTWARE,2,2025-01-18 11:29:04
Slowdown in network response times affecting Inventory services - experienced by multiple users,NETWORK,3,2025-01-01 20:17:04
Ref #4487: Projector system issues in Hammamet conference rooms - Customer Support reported,HARDWARE,1,2024-12-30 02:28:04
ERP system performance degradation during month-end processing affecting multiple modules,SOFTWARE,3,2024-12-04 11:36:04
Catastrophic query performance issue bringing SQL Server database to a halt,DATABASE,4,2024-12-23 18:15:04
Minor index fragmentation issues in MySQL - scheduled optimization recommended,DATABASE,1,2025-01-27 22:24:04
Network saturation during scheduled maintenance affecting Sales workflows,NETWORK,2,2025-01-08 14:04:04
ATTENTION: Security best-practice violations in Marketing user password selections,SECURITY,1,2025-01-19 22:06:04
URGENT: Routine replacement needed for aging workstations in Marketing department,HARDWARE,1,2024-11-19 14:31:04
Intermittent packet loss in Jendouba offime network - discovered during peak hours,NETWORK,2,2024-11-28 11:42:04
VPN connectivity issues for remote employees in Bizerte - error CRIT-0123,NETWORK,3,2025-01-09 03:50:04
Minor constraint violations discovered in PostgreSQL after recent data import,DATABASE,2,2024-12-01 07:54:04
Minor security misconfiguration on proxy server in Monastir office,SECURITY,1,2025-01-13 07:24:04
Suspicious activity detected on privileged account in Customer Portal system,SECURITY,3,2024-11-28 08:32:04
suspicious activity detected on privileged account in Inventory system,SECURITY,3,2025-01-13 04:40:04
Memory leak identified in Customer Portal affecting system stability after 2025-01-08 02:33:04 uptime,SOFTWARE,3,2025-01-08 02:33:04
INC252205: Historical data archiving required for DyfamoDB performance optimization,DATABASE,1,2024-11-27 05:16:04
Ref #8053: Growing transaction logs consuming disk space on MySQL server,DATABASE,2,2025-02-03 07:52:04
Performance slowdown in Customer Portal during specific operations - reported by users,SOFTWARE,2,2024-12-21 09:03:04
Intermittent connection drops to Elasticsearch database during peak hours,DATABASE,2,2025-01-05 00:05:04
Cosmetic UI issues in ERP on Linux platform - no functional impact,SOFTWARE,1,2024-11-23 07:39:04
Aging hardware alert for web server supporting Analytics Platform - replacement needed,HARDWARE,2,2025-02-01 11:45:04
Keyboard and mouse malfunction reports from multiple users in Marketing,HARDWARE,1,2025-01-14 08:20:04
Security advisory issued for CRM - patch available but no active exploits,SECURITY,1,2025-01-04 07:01:04
Disk subsystem errors on file server in Tataouine - reported multiple errors,HARDWARE,3,2025-01-18 18:23:04
Disk subsystem errors on file server in Gafsa - reported multiple errors,HARDWARE,3,2024-12-27 23:49:04
Minor packet drops on subnet 172.16.30.0/24 in Tunis office,NETWORK,1,2024-12-30 11:12:04
Malware detected on multiple endpoints in Legal department,SECURITY,3,2024-12-19 20:29:04
Hardware errors on IT department's iOS devices - persistent impact,HARDWARE,3,2024-11-24 19:09:04
Single load balancer showing early warning signs in El Kef facility,NETWORK,1,2025-01-09 20:59:04
Ref #3939: Outdated security software on non-critical iOS devices,SECURITY,1,2024-12-24 08:26:04
INC934953: Keyboard and mouse malfunction reports from multiple users in Legal,HARDWARE,1,2025-01-29 19:40:04
Connection pool exhaustion on MySQL database supporting Mobile App,DATABASE,3,2025-01-19 06:00:04
INC725109: Major data corruption issue in Analytics Platform database - service completely down,SOFTWARE,4,2025-01-03 05:37:04
Storage array disk failure in RAID 0 - redundancy compromised,HARDWARE,3,2024-12-19 11:10:04
Database corruption detected in MongoDB cluster - data integrity compromised,DATABASE,4,2024-12-11 22:35:04
Routine replacement needed for aging workstations in Legal department,HARDWARE,1,2024-12-10 19:38:04
Anomalous network traffic detected between Tunis office and unknown external IPs,SECURITY,2,2025-01-10 13:09:04
Catastrophic failure in operating system on file server - observed at 2025-02-07 06:43:04,SOFTWARE,4,2025-02-07 06:43:04
Slow query performance affecting specific reports in CRM - Oracle issue,DATABASE,2,2024-12-14 16:30:04
Keyboard and mouse malfunction reports from multiple users in Legal,HARDWARE,1,2025-01-10 03:03:04
Intermittent network drops affecting recurring percentage of users in Tozeur,NETWORK,3,2025-02-01 04:37:04
Brute force attacks against Analytics Platform administration interface - identified from 10.1.1.x,SECURITY,3,2024-12-30 14:22:04
Expired SSL certificates alert for Inventory - renewal required within 7 days,SECURITY,2,2025-02-04 13:19:04
INC388441: Primary and backup WAN link failure at Mahdia datacenter - observed at 2025-02-03 20:05:04,NETWORK,4,2025-02-03 20:05:04
Historical data archiving required for PostgreSQL performance optimization,DATABASE,1,2025-01-08 13:04:04
Legacy system printing glitches in Hammamet office - only affecting IT,SOFTWARE,1,2024-12-25 15:02:04
Minor alert notifications from monitoring system for Customer Portal services,SOFTWARE,1,2025-02-05 17:53:04
[Ticket #61824] Occasional timeout issues reported by Executive team when accessing Customer Portal,NETWORK,1,2024-12-17 06:47:04
Database replication lag exceeding thresholds on SQL Server cluster,DATABASE,3,2024-12-24 01:17:04
Security patch required for significant vulnerability in web server,SECURITY,2,2024-12-28 05:56:04
Memory errors identified on virtualization host in Tataouine - some VMs affected,HARDWARE,2,2024-11-27 05:32:04
ATTENTION: Non-critical bug in Mobile App affecting specific workflows in Finance,SOFTWARE,2,2025-01-08 23:34:04
Security patch required for severe vulnerability in backup server,SECURITY,2,2024-11-25 14:05:04
Low-risk vulnerability detected in Customer Portal test environment,SECURITY,1,2024-12-10 01:21:04
Security best-practice violations in Customer Support user password selections,SECURITY,1,2025-01-02 18:16:04
Physical server crash affecting ERP in Mahdia datacenter,HARDWARE,3,2025-01-08 18:02:04
Warning messages appearing in HRMS logs - no user impact observed,SOFTWARE,1,2024-12-16 04:56:04
Minor packet drops on subnet 10.0.0.0/24 in Bizerte office,NETWORK,1,2024-11-17 01:01:04
Security advisory issued for ERP - patch available but no actiie exploits,SECURITY,1,2024-12-06 10:39:04
Backup job failures for Oracle database - identified for last potential runs,DATABASE,2,2024-11-30 13:25:04
Minor alert notifications from monitoring system for Inventory services,SOFTWARE,1,2024-11-16 01:16:04
Warning messages appearing in ERP logs - no user impact observed,SOFTWARE,1,2024-12-02 18:47:04
Printer fleet connectivity issues in Bizerte office affecting Marketing,HARDWARE,2,2024-12-16 19:48:04
Gradual growth in database size requiring future capacity planning - SQL Server,DATABASE,1,2024-11-23 05:12:04
URGENT: Minor security misconfiguration on load balancer in Mahdia office,SECURITY,1,2024-12-03 07:36:04
Security best-practice violations in HR user password selections,SECURITY,1,2024-11-23 00:13:04
Non-essential module showing errors in Inventory - doesn't affect core functions,SOFTWARE,1,2024-12-31 15:59:04
Redundant component failure on proxy server at El Kef - still operational,HARDWARE,2,2024-12-04 00:02:04
Memory errors encountered on virtualization host in Béja - some VMs affected,HARDWARE,2,2025-01-04 15:58:04
Non-critical statistics update failures on MySQL tables,DATABASE,1,2025-01-15 21:13:04
ATTENTION: Non-essential module showing errors in Payroll - doesn't affect core functions,SOFTWARE,1,2024-11-17 18:38:04
Keyboard and mouse malfunction reports from multiple users in Legal,HARDWARE,1,2025-01-19 11:02:04
Ref #9974: Performance slowdown in Inventory during specific operations - detected by users,SOFTWARE,2,2025-01-27 12:25:04
VPN connectivity issues for remote employees in Mahdia - error NET-3456,NETWORK,3,2025-02-04 05:32:04
Unstable connectivity between Monastir and disaster recovery site - started at 2024-12-26 17:01:04,NETWORK,3,2024-12-26 17:01:04
Slow query performance affecting specific reports in HRMS - MySQL issue,DATABASE,2,2024-12-07 23:48:04
Significant query performance degradation in Elasticsearch during data migration,DATABASE,3,2025-01-01 09:07:04
[Ticket #71231] Warning messages appearing in Dashboard logs - no user impact observed,SOFTWARE,1,2024-11-21 06:59:04
URGENT: Projector system issues in Ariana conference rooms - IT reported,HARDWARE,1,2025-01-26 23:56:04
Unstable connectivity between Djerba and disaster recovery site - started at 2024-11-23 23:49:04,NETWORK,3,2024-11-23 23:49:04
[Ticket #93305] URGENT: Routine replacement needed for aging workstations in Customer Support department,HARDWARE,1,2025-01-20 03:36:04
[Ticket #81031] Slow query performance affecting specific reports in Inventory - Elasticsearch issue,DATABASE,2,2024-11-23 17:54:04
Growing transaction logs consuming disk space on MySQL server,DATABASE,2,2025-01-28 18:06:04
Outdated security software on non-critical Windows devices,SECURITY,1,2024-12-13 18:22:04
Unusual login patterns detected for R&D user accounts - investigation needed,SECURITY,2,2025-01-01 14:16:04
Single switch showing early warning signs in Ben Arous facility,NETWORK,1,2024-12-22 05:42:04
URGENT: Minor constraint violations discovered in MongoDB after recent data import,DATABASE,2,2024-12-08 16:40:04
End-of-life hardware alert for non-critical virtual host in Bizerte,HARDWARE,1,2024-12-20 18:51:04
Ref #8402: Phishing campaign targeting Marketing employees - several suspicious emails reported,SECURITY,2,2025-01-22 14:45:04
Ref #8942: Minor index fragmentation issues in PostgreSQL - scheduled optimization recommended,DATABASE,1,2025-02-12 15:18:04
End-of-life hardware alert for non-critical database server in Bizerte,HARDWARE,1,2024-12-25 18:45:04
Hardware errors on Executive department's Android devices - intermittent impact,HARDWARE,3,2025-01-01 01:27:04
Non-critical statistics update failures on MongoDB tables,DATABASE,1,2025-02-02 04:57:04
Occasional timeout issues reported by Finance team when accessing Dashboard,NETWORK,1,2024-12-01 13:18:04
Software update pqoblems on Android fleet - experienced by Finance,SOFTWARE,2,2025-02-03 08:37:04
PRIORITY: Legacy system printing glitches in Jendouba office - only affecting Executive,SOFTWARE,1,2024-12-12 23:59:04
Redundant component failure on firewall at Kairouan - still operational,HARDWARE,2,2024-12-06 23:51:04
Ref #1150: Occasional query timeouts for specific reports in Mobile App using DynamoDB,DATABASE,1,2025-01-20 15:18:04
Non-essential module showing errors in Dashboard - doesn't affect core functions,SOFTWARE,1,2024-12-25 03:42:04
Growing transaction logs consuming disk space on MySQL server,DATABASE,2,2025-01-23 05:49:04
Complete system crash of Mobile App affecting all Executive operations,SOFTWARE,4,2025-02-11 07:33:04
Connection pool exhaustion on SQL Server database supporting Dahhboard,DATABASE,3,2024-12-18 06:45:04
PRIORITY: Malware detected on multiple endpoints in HR department,SECURITY,3,2024-12-10 23:37:04
URGENT: Warning messaces appearing in Mobile App logs - no user impact observed,SOFTWARE,1,2025-01-12 12:52:04
